         718          24          24          24
 -0.41895841851783988      -0.53834515072200029                0           0           0
   4.7476247527694665E-002   6.1004654947854703E-002          -1          -1          -1
  -2.2335354543201291E-002  -2.8700141925455610E-002          -1           0           0
 -0.42041131946523114      -0.54021427776554853                0          -1           0
  -2.2289767720010716E-002  -2.8641528823224006E-002           0           0          -1
  -4.7611956915779075E-002  -6.1179069965691571E-002           0           0           1
  -2.6736049715628367E-002  -3.4354770014799745E-002           0           1           0
  -4.7476247686402552E-002  -6.1004660680254723E-002           1           0           0
   2.2335367662947150E-002   2.8700137920238532E-002           1           1           1
  -4.7814085006834130E-002  -6.1439931466156041E-002          -1          -1           0
   1.1550236025225201E-002   1.4841604247106907E-002          -1           0          -1
  -4.7678184344250529E-002  -6.1265269527840602E-002           0          -1          -1
  -1.1569151472164172E-002  -1.4865917961968303E-002           0           1           1
   4.7814079091683150E-002   6.1439935900661269E-002           1           0           1
  -1.1550230941252534E-002  -1.4841617378100101E-002           1           1           0
  -1.0890911945473106E-002  -1.3994427961083179E-002          -2          -1          -1
   2.2481658663398307E-002   2.8888080647526727E-002          -1          -2          -1
  -1.0874803482517181E-002  -1.3973737530136907E-002          -1          -1          -2
   1.0897068281237848E-002   1.4002335363663592E-002          -1           0           1
   6.0473369997754928E-003   7.7705962113088934E-003          -1           1           0
  -2.2527721831549920E-002  -2.8947319286176422E-002           0          -1           1
   6.0406574237763461E-003   7.7620155625762145E-003           0           1          -1
  -2.2481650610974541E-002  -2.8888077326391641E-002           1          -1           0
   1.0874802664795841E-002   1.3973733196798226E-002           1           0          -1
  -1.0897066865207864E-002  -1.4002336975255381E-002           1           1           2
  -6.0473323287613913E-003  -7.7705965794173208E-003           1           2           1
  -1.0890906815174118E-002  -1.3994427498566577E-002           2           1           1
  -1.0867140845086137E-002  -1.3963872709961845E-002          -2          -2          -1
  -1.4008007549029141E-002  -1.7999797028713287E-002          -2          -1          -2
  -7.4548105386988859E-003  -9.5791280760673600E-003          -2          -1           0
  -2.8810942119124978E-003  -3.7020589890862515E-003          -2           0          -1
  -1.0860982142727876E-002  -1.3955966848872559E-002          -1          -2          -2
  -1.1518802553138703E-002  -1.4801254888202066E-002          -1          -2           0
   1.0883217759260117E-002   1.3984524880667128E-002          -1          -1           1
  -2.8732406892524242E-003  -3.6919685680887179E-003          -1           0          -2
   7.5630319691032590E-003   9.7182357779448374E-003          -1           1          -1
   2.8817752762860011E-003   3.7029352619231942E-003          -1           1           1
  -1.1500011099568058E-002  -1.4777120681125324E-002           0          -2          -1
  -7.4278124992942984E-003  -9.5444368757994173E-003           0          -1          -2
  -1.4034104092898765E-002  -1.8033334423787351E-002           0           1           2
  -7.5682801854980077E-003  -9.7249835917871327E-003           0           2           1
   1.0860985600159899E-002   1.3955967184480569E-002           1          -1          -1
   1.1518802215566507E-002   1.4801262511226636E-002           1          -1           1
  -1.0883222128127302E-002  -1.3984521630932042E-002           1           0           2
