         718          24          24          24
 -0.45082342933044539      -0.43506748915302385                0           0           0
  -2.7481993188660021E-002  0.16955272170230271               -1          -1          -1
 -0.24418694342304775       -3.9578696910742235E-002          -1           0           0
 -0.24418694378842912       -3.9578694178632655E-002           0          -1           0
  -7.4868234046199557E-003  -3.8333573289870110E-002           0           0          -1
   2.7481447312804486E-002 -0.16955281023150595                0           0           1
  -5.0588709331167325E-002  -1.7712274314183346E-002           0           1           0
  -5.0588709849122893E-002  -1.7712265283883807E-002           1           0           0
   7.4867518158585004E-003   3.8333538976992459E-002           1           1           1
 -0.56516685634930497       0.27039213993489258               -1          -1           0
   4.1763526756147225E-003  -1.9981852807460401E-003          -1           0          -1
   4.1763536831915180E-003  -1.9981832244742146E-003           0          -1          -1
  -4.1764930612487993E-003   1.9981294788451497E-003           0           1           1
  -4.1765003889768200E-003   1.9981340320197349E-003           1           0           1
  -2.6477388263279143E-002   1.2667577845740543E-002           1           1           0
  -3.3315274219257265E-003  -3.2150615324454484E-003          -2          -1          -1
  -3.3315216170194005E-003  -3.2150557476150273E-003          -1          -2          -1
  -1.3265875917749010E-002   1.4508779441231611E-003          -1          -1          -2
   3.3313726901438804E-003   3.2150627917495512E-003          -1           0           1
  -6.4823791775097074E-003   7.9972637559619225E-003          -1           1           0
   3.3313708820412284E-003   3.2150636785697843E-003           0          -1           1
   3.2115840189487458E-003   3.0993364370689664E-003           0           1          -1
  -6.4823783917975272E-003   7.9972673082611429E-003           1          -1           0
   3.2115848119968868E-003   3.0993379169345567E-003           1           0          -1
  -1.3265841303423545E-002   1.4508767416671808E-003           1           1           2
  -3.2115913607789013E-003  -3.0993382133058908E-003           1           2           1
  -3.2115915474900079E-003  -3.0993399568751572E-003           2           1           1
   1.9211825157845343E-002  -3.4006137295736760E-002          -2          -2          -1
  -2.3254271056847846E-002  -3.7691292896374958E-003          -2          -1          -2
  -5.3593466105683316E-002   8.2604466771919304E-004          -2          -1           0
   2.6171049095193386E-003  -1.6146762127449921E-002          -2           0          -1
  -2.3254270196998519E-002  -3.7691300363204439E-003          -1          -2          -2
  -5.3593467910405944E-002   8.2605361114791546E-004          -1          -2           0
  -1.9211903919367234E-002   3.4006148127679901E-002          -1          -1           1
   3.8887082914984537E-003  -8.4330633190673257E-003          -1           0          -2
   1.2995305378020402E-002   3.5525471503783899E-004          -1           1          -1
  -2.6171427071606289E-003   1.6146754038651290E-002          -1           1           1
   2.6171059604873674E-003  -1.6146759845794497E-002           0          -2          -1
   3.8887081769544717E-003  -8.4330634858182339E-003           0          -1          -2
  -2.3254267955249680E-002  -3.7691411618741340E-003           0           1           2
  -1.2995316752671958E-002  -3.5525952625180442E-004           0           2           1
   1.2995306341114983E-002   3.5525553196829554E-004           1          -1          -1
  -2.6171443564810865E-003   1.6146755449852588E-002           1          -1           1
  -2.3254268985285813E-002  -3.7691411267039669E-003           1           0           2
  -3.5871533697148178E-003   6.4840273675819699E-003           1           1          -1
  -1.0193177187737351E-002   1.0888320255756051E-004           1           2           0
   3.8887229278578321E-003  -8.4330571249802960E-003           1           2           2
  -1.2995318034324835E-002  -3.5525936381366086E-004           2           0           1
  -1.0193177377569640E-002   1.0888314226602019E-004           2           1           0
   3.8887239470480448E-003  -8.4330581625588173E-003           2           1           2
   3.5871532054531363E-003  -6.4840268127655375E-003           2           2           1
  -1.2128381318256084E-002  -5.5668633370269888E-003          -2          -2          -2
  -3.6244103151566961E-003  -9.6354119481981710E-003          -2           0           0
  -3.6244120436908713E-003  -9.6354085477610395E-003           0          -2           0
   1.1662191726461045E-002  -4.7514891759064034E-003           0           0          -2
  -1.2128413602572231E-002  -5.5668757309044158E-003           0           0           2
  -1.0514907356715102E-002   5.8586802381041386E-003           0           2           0
  -1.0514907611698793E-002   5.8586815561362726E-003           2           0           0
   1.1662204221725815E-002  -4.7514849329754307E-003           2           2           2
  -2.1120526905899321E-002  -2.0382418388550021E-002          -2          -2           0
  -8.5567903401198887E-003  -8.2577317728085523E-003          -2           0          -2
  -8.5567907520221788E-003  -8.2577319083689382E-003           0          -2          -2
  -8.5567883540117982E-003  -8.2577316025687943E-003           0           2           2
  -8.5567881964200721E-003  -8.2577318101279083E-003           2           0           2
  -3.6543979373759431E-003  -3.5266787348137325E-003           2           2           0
   1.0258910666980088E-003   9.2296366768678285E-003          -3          -2          -2
  -1.2442210148093449E-002  -3.7677458217271450E-003          -3          -1          -1
   1.0258901120482121E-003   9.2296352546991818E-003          -2          -3          -2
  -9.5818894776624765E-004   5.9117133423653200E-003          -2          -2          -3
   1.2442197731555421E-002   3.7677467031667702E-003          -2           0           1
   8.5139537691676682E-003   1.3799720668036346E-003          -2           1           0
  -1.2442208929636399E-002  -3.7677460311648799E-003          -1          -3          -1
  -1.1167022974916485E-002  -1.6522286775863776E-003          -1          -1          -3
   1.0258742189746487E-003   9.2296366785459532E-003          -1           0           2
  -1.4753650187758209E-003   7.7007120045475318E-003          -1           2           0
   1.2442196676774323E-002   3.7677467936737602E-003           0          -2           1
   1.0258741786473697E-003   9.2296364154504269E-003           0          -1           2
   6.1269727222468028E-003   1.1677816138058314E-003           0           1          -2
  -4.4749966404730306E-004   4.3131992653290116E-003           0           2          -1
   8.5139536733468638E-003   1.3799723200971763E-003           1          -2           0
   6.1269729555731749E-003   1.1677816420618947E-003           1           0          -2
   9.5819453655173565E-004  -5.9117126233322681E-003           1           1           3
   4.4749877171401648E-004  -4.3131990046926388E-003           1           3           1
  -1.4753646902379649E-003   7.7007130022202939E-003           2          -1           0
  -4.4749935228412957E-004   4.3131999506679222E-003           2           0          -1
   1.1167028787622305E-002   1.6522293701587217E-003           2           2           3
   6.1269782267299368E-003   1.1677824619971543E-003           2           3           2
   4.4749870564777345E-004  -4.3131999850285572E-003           3           1           1
   6.1269782157432210E-003   1.1677822921531923E-003           3           2           2
  -4.0261523448869366E-003   1.9262208501114712E-003          -3          -2          -1
  -1.0727065932359765E-002   5.1321358141914551E-003          -3          -1          -2
  -4.0261520856667383E-003   1.9262189745587626E-003          -2          -3          -1
  -9.2457089123849680E-003   2.5142517456940958E-003          -2          -1          -3
   4.0261450457486185E-003  -1.9262202969374872E-003          -2          -1           1
   6.6004888355153390E-003  -5.0670245478165541E-003          -2           1          -1
  -1.0727066158394000E-002   5.1321350608889140E-003          -1          -3          -2
  -9.2457090789569082E-003   2.5142515703731683E-003          -1          -2          -3
   4.0261445915083906E-003  -1.9262191877925750E-003          -1          -2           1
   5.0143629849947026E-003  -2.3990157462377192E-003          -1           1          -2
  -1.0727068173789120E-002   5.1321346548827843E-003          -1           1           2
  -6.6004920795318381E-003   5.0670236831595345E-003          -1           2           1
   6.6004890891352671E-003  -5.0670242897162734E-003           1          -2          -1
   5.0143632999798413E-003  -2.3990158757645585E-003           1          -1          -2
  -1.0727068214404363E-002   5.1321348340695036E-003           1          -1           2
  -2.7957744767300699E-003   1.3375792408874525E-003           1           2          -1
   9.2457119919211826E-003  -2.5142501704856343E-003           1           2           3
   5.0143660207217222E-003  -2.3990146115149035E-003           1           3           2
  -6.6004919510988256E-003   5.0670240359723187E-003           2          -1           1
  -2.7957746561667308E-003   1.3375792869305793E-003           2           1          -1
   9.2457122420756543E-003  -2.5142505363150427E-003           2           1           3
   2.7957755284603366E-003  -1.3375789562369684E-003           2           3           1
   5.0143661593912972E-003  -2.3990150579598839E-003           3           1           2
   2.7957755873483942E-003  -1.3375790849579868E-003           3           2           1
   9.5642860565190689E-003   8.1919503468096729E-003          -3          -3          -2
   7.9781843454540501E-003   5.3059612666753282E-003          -3          -2          -3
  -8.1259985117914310E-003  -8.8800663558906597E-003          -3          -1           0
  -4.6620498094461400E-003  -6.8924970935679182E-003          -3           0          -1
   7.9781842386122247E-003   5.3059611226765023E-003          -2          -3          -3
   4.6620470218521779E-003   6.8924967031124985E-003          -2           1           1
  -8.1259984780228389E-003  -8.8800651124640636E-003          -1          -3           0
   9.5642725766041416E-003   8.1919509371889358E-003          -1          -1           2
  -4.1101241519334022E-003  -2.8411248382632986E-003          -1           0          -3
   2.5509011795666783E-003   3.5871034370401050E-003          -1           2          -1
  -4.6620499392682939E-003  -6.8924969789956906E-003           0          -3          -1
  -4.1101242860156423E-003  -2.8411249697577585E-003           0          -1          -3
  -7.9781807341467378E-003  -5.3059615823739456E-003           0           1           3
  -2.5509028094822602E-003  -3.5871035171603041E-003           0           3           1
   4.6620466089553527E-003   6.8924965778004643E-003           1          -2           1
  -7.9781806304582495E-003  -5.3059615634826257E-003           1           0           3
   2.4081624339277394E-003   1.9386567605290679E-003           1           1          -2
  -1.8742548958527471E-003  -2.1940945978936714E-003           1           3           0
   2.5509015823286922E-003   3.5871036617205199E-003           2          -1          -1
   4.1101283943328782E-003   2.8411247264940398E-003           2           3           3
  -2.5509031271730414E-003  -3.5871036484167629E-003           3           0           1
  -1.8742550716135072E-003  -2.1940948015784999E-003           3           1           0
   4.1101282829673815E-003   2.8411248097009348E-003           3           2           3
   2.4081657458000930E-003   1.9386569635718592E-003           3           3           2
   1.1117196414859145E-002   1.9596775410812687E-003          -3          -3          -3
   1.3553980106692405E-003   7.2851333815210015E-003          -3          -3          -1
  -9.6369228867059838E-003  -3.3230167616557062E-003          -3          -2           0
  -6.8597935480704288E-004   4.2322521764248198E-003          -3          -1          -3
  -6.0952176918197916E-003  -9.8793489992719374E-004          -3           0          -2
   1.0325861187909398E-003  -7.7724800816711083E-003          -3           0           0
  -9.6369224983923352E-003  -3.3230169035357599E-003          -2          -3           0
  -1.3553980202526622E-003  -7.2851338411718432E-003          -2          -2           1
  -5.0201363685545668E-003  -1.0773215711195805E-003          -2           0          -3
   1.9970250882577140E-004  -3.5746419172688979E-003          -2           1          -2
  -6.8597913182884707E-004   4.2322519690055644E-003          -1          -3          -3
  -6.0952180992103634E-003  -9.8793470156234814E-004          -1           2           2
  -6.0952180040074145E-003  -9.8793514820704007E-004           0          -3          -2
   1.0325858238269486E-003  -7.7724794002244323E-003           0          -3           0
  -5.0201366211239575E-003  -1.0773217157260277E-003           0          -2          -3
  -5.1500012601406599E-004  -1.6689603636382989E-003           0           0          -3
  -1.1117190703430278E-002  -1.9596769556608404E-003           0           0           3
   6.8597823335822701E-004  -4.2322522944244368E-003           0           2           3
  -2.1387980723524239E-003  -8.9209009180031096E-004           0           3           0
   1.9970163906497996E-004  -3.5746418041811699E-003           0           3           2
   1.9970237981382710E-004  -3.5746422792189425E-003           1          -2          -2
   5.0201389664028115E-003   1.0773217599359054E-003           1           3           3
  -6.0952177288998710E-003  -9.8793439726530810E-004           2          -1           2
   6.8597818943251217E-004  -4.2322524322139015E-003           2           0           3
  -1.3725034667840790E-003  -6.1545093612179968E-004           2           2          -1
  -3.9003722934657415E-004  -1.0854912798081077E-003           2           3           0
  -2.1387981358905852E-003  -8.9209018212863954E-004           3           0           0
   1.9970163856344023E-004  -3.5746423654473575E-003           3           0           2
   5.0201387900315640E-003   1.0773213479113417E-003           3           1           3
  -3.9003727609473841E-004  -1.0854914882362072E-003           3           2           0
   1.3725047179144766E-003   6.1545105194279364E-004           3           3           1
