         718          24          24          24
 -0.88465834536728871       -4.5552977562205027E-002           0           0           0
  0.21201918544142773        1.0967304487054269E-002          -1          -1          -1
 -0.21297936258074618       -1.0916642498344405E-002          -1           0           0
 -0.21297940636060103       -1.0916609957488853E-002           0          -1           0
  -5.6922209488982398E-002  -2.9391173780212079E-003           0           0          -1
 -0.21351908396697192       -1.1044949012701616E-002           0           0           1
  -5.6976629975054552E-002  -2.9257630022364207E-003           0           1           0
  -5.6976620180809588E-002  -2.9257518586622566E-003           1           0           0
   5.6963938187863862E-002   2.9412887089079881E-003           1           1           1
  -4.4166190936994771E-004   1.8713947226075016E-004          -1          -1           0
  -8.4495756536574513E-005  -6.0623845240502781E-006          -1           0          -1
  -8.4505993395271104E-005  -6.0584285933319066E-006           0          -1          -1
  -9.1371021406146878E-005  -3.0380946748792377E-006           0           1           1
  -9.1361932577277807E-005  -3.0304483409138023E-006           1           0           1
  -2.0580113980544647E-005   8.8046454635576507E-006           1           1           0
  -6.5984385991745345E-003  -3.3978358987957354E-004          -2          -1          -1
  -6.5984254102039539E-003  -3.3978915361586640E-004          -1          -2          -1
  -6.6853727468181145E-003  -3.4060662446276342E-004          -1          -1          -2
   6.4389121494110172E-003   3.3152028324508805E-004          -1           0           1
   6.6397177520714492E-003   3.4555126616199559E-004          -1           1           0
   6.4389006461141873E-003   3.3152379814170596E-004           0          -1           1
   6.2930655360662214E-003   3.2404620418840092E-004           0           1          -1
   6.6397167440223797E-003   3.4555827720483606E-004           1          -1           0
   6.2930662501420312E-003   3.2404864420187973E-004           1           0          -1
  -6.6245406366221846E-003  -3.3742963605355204E-004           1           1           2
  -6.3063785759338922E-003  -3.2472814498395392E-004           1           2           1
  -6.3063795254688117E-003  -3.2473073375429437E-004           2           1           1
  -3.3734924505139055E-002  -1.7506392367564174E-003          -2          -2          -1
  -2.0245159533721236E-002  -1.0376722200617322E-003          -2          -1          -2
  -3.3808622877981101E-002  -1.7273175384440410E-003          -2          -1           0
  -2.0257498481792004E-002  -1.0479058084481188E-003          -2           0          -1
  -2.0245155913974688E-002  -1.0376743084254997E-003          -1          -2          -2
  -3.3808620163766609E-002  -1.7273154680475730E-003          -1          -2           0
   3.3768221383228693E-002   1.7523671797515959E-003          -1          -1           1
  -8.9220048254588426E-003  -4.6254732133075953E-004          -1           0          -2
   8.9283544350332259E-003   4.5660919633177003E-004          -1           1          -1
   2.0240956694346890E-002   1.0470484175035587E-003          -1           1           1
  -2.0257498159185601E-002  -1.0479052990546500E-003           0          -2          -1
  -8.9220052087093382E-003  -4.6254789033446262E-004           0          -1          -2
  -2.0293634275589001E-002  -1.0401576688450196E-003           0           1           2
  -8.9449187344745416E-003  -4.5746145243254362E-004           0           2           1
   8.9283533287524072E-003   4.5661028025995552E-004           1          -1          -1
   2.0240956275281583E-002   1.0470503687023927E-003           1          -1           1
  -2.0293631192920096E-002  -1.0401553139813076E-003           1           0           2
   6.4654825085591859E-003   3.3547307170329888E-004           1           1          -1
  -6.4826157885437084E-003  -3.3125345814351780E-004           1           2           0
  -8.9249291322070958E-003  -4.6269299261766082E-004           1           2           2
  -8.9449181553752314E-003  -4.5746086472061805E-004           2           0           1
  -6.4826156523222211E-003  -3.3125355620922678E-004           2           1           0
  -8.9249295138061242E-003  -4.6269512721949617E-004           2           1           2
  -6.4783518562980015E-003  -3.3613663156040240E-004           2           2           1
  -1.5419485062498746E-002  -7.9240203567157268E-004          -2          -2          -2
  -1.5483034033982560E-002  -7.9883018783729167E-004          -2           0           0
  -1.5483038208822471E-002  -7.9882564832121222E-004           0          -2           0
   1.1362881276342665E-003   5.4403407025121575E-005           0           0          -2
  -1.5559984950172369E-002  -7.9965978020224340E-004           0           0           2
   1.1208844947557272E-003   6.1825049677501640E-005           0           2           0
   1.1208856527575436E-003   6.1826796053710594E-005           2           0           0
   1.1399761665677965E-003   5.4589967245657770E-005           2           2           2
  -4.1504735468170566E-002  -2.1371704341256476E-003          -2          -2           0
  -1.6780269159069595E-002  -8.6405325025182538E-004          -2           0          -2
  -1.6780268583738576E-002  -8.6405386631118906E-004           0          -2          -2
  -1.6805976489345606E-002  -8.6537564973277392E-004           0           2           2
  -1.6805976071094922E-002  -8.6537566273723297E-004           2           0           2
  -7.1654287146753421E-003  -3.6896386908681243E-004           2           2           0
   1.3223887087044988E-002   6.8303476791987125E-004          -3          -2          -2
  -1.3223723366660426E-002  -6.7881124128242295E-004          -3          -1          -1
   1.3223886623072998E-002   6.8303427440055209E-004          -2          -3          -2
