         718          24          24          24
  -7.0722905256133913E-008   3.8030805102430939E-008           0           0           0
  -3.0804227172029520E-007  -2.4242365397494677E-007          -1          -1          -1
  -2.1823952802281330E-008   3.3484108791623384E-009          -1           0           0
  0.20966457127048591       -3.2318349061563237E-002           0          -1           0
   7.6808783985098818E-008  -1.0524557286984439E-007           0           0          -1
   1.0708704082322139E-003   6.9481796041925220E-003           0           0           1
  -2.5825202989647185E-007  -2.0252184161270702E-007           0           1           0
  -1.0707282086250033E-003  -6.9484723045281031E-003           1           0           0
  0.20966447658251242       -3.2318505391547396E-002           1           1           1
  0.30383962366661460       -5.7195791215583505E-002          -1          -1           0
   9.9574118402650843E-010   7.4224077027523057E-008          -1           0          -1
  0.30695957002605834       -3.6953841469243326E-002           0          -1          -1
  0.30695929433338959       -3.6954184932312104E-002           0           1           1
   1.8496889771919119E-009  -4.1642653218394617E-008           1           0           1
  0.30383994929261526       -5.7196062639334196E-002           1           1           0
 -0.30695892658751062        3.6953814589106272E-002          -2          -1          -1
  -4.4790465037151228E-002   6.9041889332741371E-003          -1          -2          -1
 -0.30383880523700535        5.7195231700399946E-002          -1          -1          -2
   2.2879485279686583E-004   1.4843124507232775E-003          -1           0           1
 -0.30383919166085899        5.7195579646708863E-002          -1           1           0
   1.9653970294001427E-003  -2.3668480853466004E-004           0          -1           1
 -0.30695902905079042        3.6953783404747691E-002           0           1          -1
   1.9454479873662672E-003  -3.6630466502768420E-004           1          -1           0
  -2.2870231263042020E-004  -1.4844257968095777E-003           1           0          -1
   1.9454285316847497E-003  -3.6628872203409911E-004           1           1           2
   4.4790396757576352E-002  -6.9042034542110301E-003           1           2           1
   1.9653485038219308E-003  -2.3665589932874142E-004           2           1           1
  -8.3547217114060587E-002   1.2878142779759657E-002          -2          -2          -1
 -0.20966367969566180        3.2317580062235368E-002          -2          -1          -2
  -4.2675048331017714E-004  -2.7686870007508128E-003          -2          -1           0
  -1.0709007954051713E-003  -6.9483008915705233E-003          -2           0          -1
  -8.3547234275100871E-002   1.2878076441762389E-002          -1          -2          -2
   3.0737067894374338E-002  -5.4555690564765964E-003          -1          -2           0
   2.0997390392165222E-002  -4.2831235115167775E-003          -1          -1           1
   1.0711593920909135E-003   6.9479678060368746E-003          -1           0          -2
 -0.20966393208329692        3.2317589561721691E-002          -1           1          -1
   4.2673670906411487E-004   2.7687662294131931E-003          -1           1           1
   3.0953193482618286E-002  -4.0534114768161714E-003           0          -2          -1
   4.2683754206545384E-004   2.7687520262802737E-003           0          -1          -2
   2.1312457133835252E-002  -2.2386959846580753E-003           0           1           2
   8.3547198769239606E-002  -1.2878136058866285E-002           0           2           1
   2.1312498484093830E-002  -2.2387034772567201E-003           1          -1          -1
  -1.2096543616467692E-002   1.8645746728033498E-003           1          -1           1
   6.1783543540555082E-005   4.0088219670067374E-004           1           0           2
  -4.2661882352893908E-004  -2.7687469243039150E-003           1           1          -1
   8.3547247848011666E-002  -1.2878117087210796E-002           1           2           0
  -3.0953172250385533E-002   4.0534234033034267E-003           1           2           2
  -6.1790132235697127E-005  -4.0087193741675757E-004           2           0           1
   2.0997373613384152E-002  -4.2830924007790476E-003           2           1           0
  -1.2096546638067298E-002   1.8645717086237285E-003           2           1           2
  -3.0737142892643225E-002   5.4555967125151658E-003           2           2           1
  -4.4790246716561295E-002   6.9039435498044676E-003          -2          -2          -2
  -2.2878514935664471E-004  -1.4843648997844604E-003          -2           0           0
   2.8896879469148287E-002  -4.4542536990175869E-003           0          -2           0
   2.2882858137401242E-004   1.4842701533583455E-003           0           0          -2
   1.4757940178942430E-004   9.5764912250041159E-004           0           0           2
   4.4790296795728858E-002  -6.9039217022683255E-003           0           2           0
  -1.4757898185050285E-004  -9.5765203948336094E-004           2           0           0
  -2.8896879626494051E-002   4.4542585693265356E-003           2           2           2
  -3.3572027694690051E-003   4.0420594605274551E-004          -2          -2           0
