         718          24          24          24
   3.5898317243702876E-003  0.28177090177815856                0           0           0
 -0.15561878031442894       0.56455361636018020               -1          -1          -1
 -0.16338566687878814       -4.5037342990029622E-002          -1           0           0
  -8.4632405157332468E-004   6.6924200797028557E-002           0          -1           0
 -0.16338577127251522       -4.5036962795154810E-002           0           0          -1
   2.4826233081574034E-003   6.1502842161011338E-002           0           0           1
  0.15561879060755421      -0.56455361408913141                0           1           0
   2.4826169000411601E-003   6.1502809254781167E-002           1           0           0
   8.4632602255291624E-004  -6.6924194865718295E-002           1           1           1
  -3.8490845510435197E-002   6.2684527105556997E-002          -1          -1           0
  0.14745309117748093      -0.24013603131234437               -1           0          -1
  -3.8490816495975501E-002   6.2684566162279604E-002           0          -1          -1
   3.8490847922223466E-002  -6.2684517503520346E-002           0           1           1
  -8.9640489968377621E-003   1.4598524323680825E-002           1           0           1
   3.8490814604666829E-002  -6.2684565567349748E-002           1           1           0
   9.3707618199700667E-004   7.3552831471238631E-002          -2          -1          -1
  -1.7091551122192745E-002   2.8987150587487184E-002          -1          -2          -1
   9.3713122264842434E-004   7.3552815077237751E-002          -1          -1          -2
  -1.7120284097432426E-002   2.6728574184071274E-002          -1           0           1
  -9.3707880408198203E-004  -7.3552838367667073E-002          -1           1           0
   3.2858432575011160E-004   2.5789705894151912E-002           0          -1           1
  -9.3712407371821438E-004  -7.3552813513547574E-002           0           1          -1
   3.2858634305231308E-004   2.5789704671544525E-002           1          -1           0
  -1.7120278104935303E-002   2.6728604710675622E-002           1           0          -1
  -3.2858278774539475E-004  -2.5789704658779337E-002           1           1           2
  -1.7091548769975144E-002   2.8987148899064175E-002           1           2           1
  -3.2858610925045727E-004  -2.5789704527661165E-002           2           1           1
  -3.4013943370344735E-003  -9.3759880639308598E-004          -2          -2          -1
  -3.3562988450595507E-002   5.7905876187290102E-002          -2          -1          -2
   3.2396483415241869E-003  -1.1752795347297847E-002          -2          -1           0
   3.3644027620309956E-002  -5.1544525022909134E-002          -2           0          -1
  -3.4013990476275094E-003  -9.3758526223078223E-004          -1          -2          -2
  -1.9804127602302481E-003   9.7064754315228014E-004          -1          -2           0
  -1.9241293201735579E-003   5.3880992450115149E-003          -1          -1           1
   3.3644057225005033E-002  -5.1544549500444486E-002          -1           0          -2
   3.3562991807548515E-002  -5.7905874341709483E-002          -1           1          -1
  -3.2396492506247742E-003   1.1752796703847433E-002          -1           1           1
  -1.9804100118205304E-003   9.7065007990778133E-004           0          -2          -1
   3.2396509836927711E-003  -1.1752796665579650E-002           0          -1          -2
   1.9241304957973630E-003  -5.3880963249162426E-003           0           1           2
  -3.4013953016508577E-003  -9.3759835665163367E-004           0           2           1
  -1.9241236693999981E-003   5.3881087752931369E-003           1          -1          -1
  -4.3771053793325082E-003   1.8619624040463627E-002           1          -1           1
  -4.6639656388490127E-003  -3.8957041213606805E-003           1           0           2
  -3.2396492883361959E-003   1.1752795512195505E-002           1           1          -1
  -3.4013971430491099E-003  -9.3759013748482417E-004           1           2           0
  -1.9804131680378817E-003   9.7064550488821480E-004           1           2           2
  -4.6639678018482221E-003  -3.8957057911008959E-003           2           0           1
   1.9241227880247970E-003  -5.3881093496605387E-003           2           1           0
   4.3771056241209043E-003  -1.8619624797581558E-002           2           1           2
  -1.9804098505824866E-003   9.7064862977960407E-004           2           2           1
   1.7442886252025652E-004  -3.3650339889688297E-002          -2          -2          -2
  -1.0074496937264178E-003  -3.1725497812408535E-002          -2           0           0
   4.0242429855681522E-003  -6.0157212722378010E-004           0          -2           0
  -1.0074668775614506E-003  -3.1725476043274137E-002           0           0          -2
  -3.8756446250823619E-003   1.2263849470062939E-002           0           0           2
   1.7442929591425743E-004  -3.3650345119623365E-002           0           2           0
  -3.8756464650985057E-003   1.2263840815393053E-002           2           0           0
   4.0242426572129324E-003  -6.0157377866182729E-004           2           2           2
  -3.2672557567388840E-005  -2.5637263378179699E-003          -2          -2           0
  -2.1821278263753059E-004  -1.7129605886802891E-002          -2           0          -2
  -3.2673876137907399E-005  -2.5637239566461403E-003           0          -2          -2
  -3.2671770722132192E-005  -2.5637252599157142E-003           0           2           2
  -1.1421155763078201E-004  -8.9642931593206816E-003           2           0           2
  -3.2673977466838349E-005  -2.5637252376328286E-003           2           2           0
  -1.2033793240248804E-003  -1.8482577740571687E-003          -3          -2          -2
  -1.1083196097616563E-003   5.6129826221769088E-003          -3          -1          -1
   3.7459070963934741E-003  -1.3589397631390974E-002          -2          -3          -2
  -1.2033858543041270E-003  -1.8482569450333003E-003          -2          -2          -3
  -3.9328661704845693E-003  -1.0840954708016600E-003          -2           0           1
   1.1083196289776989E-003  -5.6129843580812085E-003          -2           1           0
  -3.2124596922921181E-003  -1.2626744042595875E-003          -1          -3          -1
  -1.1083084394252916E-003   5.6129796443265588E-003          -1          -1          -3
  -3.0503229067259580E-003   1.1461939673113031E-002          -1           0           2
  -1.2033792283655171E-003  -1.8482591796880597E-003          -1           2           0
   2.5268455798517445E-003   6.9593067173258914E-004           0          -2           1
  -2.4067423965896391E-003   8.7305553139280893E-003           0          -1           2
   1.1083097615528059E-003  -5.6129777673266015E-003           0           1          -2
  -1.2033830877614196E-003  -1.8482584994666540E-003           0           2          -1
   2.5268464527435641E-003   6.9593016297536756E-004           1          -2           0
  -3.9328682271151036E-003  -1.0840877700963216E-003           1           0          -2
   2.4067427577564443E-003  -8.7305558578471224E-003           1           1           3
  -3.7459078621834446E-003   1.3589397528853325E-002           1           3           1
  -2.4067417222924160E-003   8.7305534208080831E-003           2          -1           0
  -3.0503207325713452E-003   1.1461937965329509E-002           2           0          -1
   2.5268452581689977E-003   6.9592937095826180E-004           2           2           3
   3.2124594314168744E-003   1.2626741146503783E-003           2           3           2
   2.4067415910092619E-003  -8.7305537833163322E-003           3           1           1
   2.5268465992754671E-003   6.9592975771285380E-004           3           2           2
  -1.3416274707455278E-003   2.1848977562235008E-003          -3          -2          -1
  -1.3495984507756237E-002   2.1978971766658542E-002          -3          -1          -2
  -5.9560400905115318E-004  -5.1766999075012476E-003          -2          -3          -1
  -1.3495984643513663E-002   2.1978975080416296E-002          -2          -1          -3
   4.4214845248898374E-004  -6.8667190029038346E-003          -2          -1           1
   1.3495985215051820E-002  -2.1978971324191396E-002          -2           1          -1
  -5.9560585488737544E-004  -5.1766972589070686E-003          -1          -3          -2
  -1.3416281079653596E-003   2.1849018643051040E-003          -1          -2          -3
   1.7885853847630776E-003  -2.9128113675053247E-003          -1          -2           1
   1.3495984996235463E-002  -2.1978972794051949E-002          -1           1          -2
  -4.4214866356226488E-004   6.8667203319321092E-003          -1           1           2
  -1.3416283127012445E-003   2.1848990549264862E-003          -1           2           1
   1.7885867771202338E-003  -2.9128107353515883E-003           1          -2          -1
   4.4214805061259361E-004  -6.8667167291333268E-003           1          -1          -2
  -3.2869271489761650E-003   5.3529512663746011E-003           1          -1           2
  -1.3416269103822152E-003   2.1848996939436631E-003           1           2          -1
   1.7885855032582225E-003  -2.9128124161490014E-003           1           2           3
   5.9560434808260442E-004   5.1766990549422494E-003           1           3           2
  -3.2869273461859105E-003   5.3529506232909922E-003           2          -1           1
  -4.4214787088263119E-004   6.8667161063820075E-003           2           1          -1
   3.2869270907536930E-003  -5.3529515127395998E-003           2           1           3
   5.9560576518257824E-004   5.1766980462130538E-003           2           3           1
   3.2869273300459305E-003  -5.3529506945251730E-003           3           1           2
   1.7885869359041766E-003  -2.9128102095085109E-003           3           2           1
   3.1638583324311129E-003  -4.1404034528474808E-003          -3          -3          -2
   3.1476572473789965E-003   2.5785018666520626E-003          -3          -2          -3
   3.1385804095649199E-003  -6.1234475764953347E-003          -3          -1           0
   2.9553185238525713E-003  -1.2517529120608939E-002          -3           0          -1
   3.1638574008586171E-003  -4.1404065429098543E-003          -2          -3          -3
  -3.1385809851625476E-003   6.1234469679384562E-003          -2           1           1
  -1.2532210445644315E-003   4.6747941170327415E-006          -1          -3           0
  -1.2023851721064236E-003   3.9944072037002348E-003          -1          -1           2
   2.9553260922722114E-003  -1.2517533932332995E-002          -1           0          -3
   3.1476579676630164E-003   2.5785020181725306E-003          -1           2          -1
  -1.2532212309511665E-003   4.6755916345452746E-006           0          -3          -1
   3.1385825161810944E-003  -6.1234497864415781E-003           0          -1          -3
   1.2023853925967570E-003  -3.9944068130175299E-003           0           1           3
  -3.1638577290071805E-003   4.1404039053474090E-003           0           3           1
   4.2148169117730351E-004   2.5806229000484631E-003           1          -2           1
   3.3992496865370425E-004  -3.8206129515354196E-003           1           0           3
  -3.1385818817644307E-003   6.1234501811428697E-003           1           1          -2
  -3.1638573377328954E-003   4.1404056047941338E-003           1           3           0
  -1.2023835092638574E-003   3.9944063855433184E-003           2          -1          -1
   1.2532204045078304E-003  -4.6748047186536749E-006           2           3           3
   3.3992390013025202E-004  -3.8206121782563360E-003           3           0           1
   1.2023834297149490E-003  -3.9944066776372144E-003           3           1           0
   4.2148146613997777E-004   2.5806231633260656E-003           3           2           3
   1.2532208875756135E-003  -4.6751129372966455E-006           3           3           2
   3.4057048801167345E-003   5.6161794480642595E-004          -3          -3          -3
   5.6489966313379625E-004  -2.0493422624408898E-003          -3          -3          -1
   5.9309051730786636E-004   1.6348353752139002E-004          -3          -2           0
  -5.7811807155762210E-003   1.8232592642928210E-002          -3          -1          -3
  -6.0012911813432475E-003   9.5583529386407884E-004          -3           0          -2
   3.2532115715496754E-003  -1.1406011095064351E-002          -3           0           0
  -8.5114030355955359E-004  -1.0635388278225892E-004          -2          -3           0
   8.1387806343245902E-004  -2.8179189946631886E-003          -2          -2           1
  -6.0012891342245134E-003   9.5583564747911377E-004          -2           0          -3
   5.7811802250641213E-003  -1.8232591968590294E-002          -2           1          -2
   5.6489909177489335E-004  -2.0493421205946328E-003          -1          -3          -3
   5.9309071658668886E-004   1.6348526151629134E-004          -1           2           2
  -8.5114115815451339E-004  -1.0635190486934555E-004           0          -3          -2
   2.7395173947855465E-004  -5.0253117480219211E-004           0          -3           0
   5.9309062649884586E-004   1.6348557606659116E-004           0          -2          -3
   3.2532119478418664E-003  -1.1406013443649173E-002           0           0          -3
  -2.7535719174617720E-004   3.9205530903146094E-004           0           0           3
   8.1387808521940876E-004  -2.8179196686143452E-003           0           2           3
  -3.4057052806803819E-003  -5.6161877984667622E-004           0           3           0
  -5.6489976478146732E-004   2.0493418736111449E-003           0           3           2
   8.1387735511394060E-004  -2.8179185295216188E-003           1          -2          -2
   8.5113980281414751E-004   1.0635256636845582E-004           1           3           3
  -1.3871008633479143E-003   3.5253359097313808E-004           2          -1           2
   1.3395100345471023E-003  -4.0879093614110537E-003           2           0           3
   5.9309014155932145E-004   1.6348476567870556E-004           2           2          -1
  -5.6490012356698121E-004   2.0493423536600869E-003           2           3           0
  -2.7535905874055385E-004   3.9205467448180615E-004           3           0           0
   1.3395098414906881E-003  -4.0879088803395334E-003           3           0           2
   1.3871009708821588E-003  -3.5253387448917674E-004           3           1           3
   8.1387699502102342E-004  -2.8179188539200306E-003           3           2           0
   8.5114125253093879E-004   1.0635241071798676E-004           3           3           1
  -2.7395191469659145E-004   5.0253157044704156E-004           3           3           3
   4.3549111496698158E-005   3.4178377277965287E-003          -4          -2          -2
   1.6611157675521658E-003  -2.8016495020361221E-003          -2          -4          -2
   4.3546182996206207E-005   3.4178371364690457E-003          -2          -2          -4
  -1.6635190863653526E-003   2.6126922457170138E-003          -2           0           2
   4.3548474754263568E-005   3.4178374207720790E-003          -2           2           0
   1.3468970738989321E-005   1.0571529285525771E-003           0          -2           2
   4.3546648770517905E-005   3.4178380326437192E-003           0           2          -2
   1.3469473088145531E-005   1.0571523411190983E-003           2          -2           0
  -1.6635180858213120E-003   2.6126922333186446E-003           2           0          -2
   1.3468779979730042E-005   1.0571529234822958E-003           2           2           4
