         718          24          24          24
  -1.2131491639722395E-008  -2.6171755681757806E-008           0           0           0
  0.10039285652051541       0.24244782633504613               -1          -1          -1
  -8.4509255217618373E-002 -0.20408685264209891               -1           0           0
  0.18027605138514943       0.43536005414159590                0          -1           0
   4.6270564936330520E-003   1.1174222948430750E-002           0           0          -1
   4.6270554467070998E-003   1.1174225827960842E-002           0           0           1
  0.18027437732848695       0.43536075041779981                0           1           0
  -8.4508533640406655E-002 -0.20408714865908428                1           0           0
  0.10039387367512975       0.24244740727617847                1           1           1
   6.2240047775780225E-002  0.15030833385058268               -1          -1           0
  -5.1916535695112370E-002 -0.12537715969117236               -1           0          -1
  0.12017100721376252       0.29021008575131141                0          -1          -1
  0.12017094916527940       0.29021009883876653                0           1           1
  -5.1916499816402693E-002 -0.12537716966134838                1           0           1
   6.2240084476742216E-002  0.15030831006476952                1           1           0
   2.0050133332722139E-002   4.8420673712107627E-002          -2          -1          -1
  -8.6623501121821708E-003  -2.0918690739075072E-002          -1          -2          -1
   1.0384492282615237E-002   2.5078538179756367E-002          -1          -1          -2
  -8.6621741644795115E-003  -2.0918775819247337E-002          -1           0           1
   1.0384342884859326E-002   2.5078578656423080E-002          -1           1           0
   2.0050320465910355E-002   4.8420630868831957E-002           0          -1           1
   2.0050029878296270E-002   4.8420748502665027E-002           0           1          -1
   1.0384787212644152E-002   2.5078394759160731E-002           1          -1           0
  -8.6620477063558514E-003  -2.0918830342482934E-002           1           0          -1
   1.0384669137205968E-002   2.5078462186976475E-002           1           1           2
  -8.6618733416839230E-003  -2.0918887802230175E-002           1           2           1
   2.0050181735870396E-002   4.8420653598772449E-002           2           1           1
  -4.4921884571716957E-003  -1.0848423352947598E-002          -2          -2          -1
   6.6647486878340222E-003   1.6095203130960786E-002          -2          -1          -2
   7.4219828115964252E-003   1.7923971158748341E-002          -2          -1           0
  -3.7348564135087120E-003  -9.0196920986689751E-003          -2           0          -1
  -1.0153979116059062E-002  -2.4521455040134466E-002          -1          -2          -2
   3.2263264354150589E-003   7.7916691682187534E-003          -1          -2           0
   6.1562680866013662E-003   1.4867178902865692E-002          -1          -1           1
  -5.1472682535282244E-003  -1.2430585825125583E-002          -1           0          -2
  -2.2174765831814280E-003  -5.3550185754373042E-003          -1           1          -1
   1.0405557281170949E-002   2.5129351323256950E-002          -1           1           1
   8.8880974176975304E-003   2.1464745024188228E-002           0          -2          -1
