         718          24          24          24
 -0.18069975498653060       0.93653684140031590                0           0           0
   1.8547412138089026E-002  -9.6128924772599239E-002          -1          -1          -1
  -1.8547707130252000E-002   9.6128864995891711E-002          -1           0           0
  -1.8547701174875822E-002   9.6128881098339669E-002           0          -1           0
  -1.8547705699492111E-002   9.6129035822743791E-002           0           0          -1
  -1.8547464737700831E-002   9.6129083201176080E-002           0           0           1
  -1.8547416417370347E-002   9.6128936412869237E-002           0           1           0
  -1.8547397847732489E-002   9.6128923532775967E-002           1           0           0
   1.8547695785657715E-002  -9.6128870157277627E-002           1           1           1
  -8.9969808640421279E-008  -7.9370040202938336E-008          -1          -1           0
  -1.3221535492202015E-007   4.2664683332854931E-008          -1           0          -1
  -1.2158839969643092E-007   4.8948128801159976E-008           0          -1          -1
   9.7326024179338873E-008   9.1632013040386111E-008           0           1           1
   1.0146649031713776E-007   8.4191718093596876E-008           1           0           1
   1.1374272151275416E-007  -4.0853241787247882E-008           1           1           0
  -1.9882352843486740E-003   1.0304722200602941E-002          -2          -1          -1
  -1.9882384408298911E-003   1.0304717504187655E-002          -1          -2          -1
  -1.9882369311188587E-003   1.0304696619125165E-002          -1          -1          -2
   1.9882370418480115E-003  -1.0304701435942204E-002          -1           0           1
   1.9882429322647640E-003  -1.0304720635581487E-002          -1           1           0
   1.9882342502279501E-003  -1.0304697168424458E-002           0          -1           1
   1.9882366278912230E-003  -1.0304696184205519E-002           0           1          -1
   1.9882452049534006E-003  -1.0304718058627094E-002           1          -1           0
   1.9882410228789483E-003  -1.0304698187247264E-002           1           0          -1
  -1.9882313843397033E-003   1.0304699036201881E-002           1           1           2
  -1.9882400279276351E-003   1.0304718551559176E-002           1           2           1
  -1.9882394895696389E-003   1.0304718957659543E-002           2           1           1
  -2.7244546560937890E-003   1.4120365520650834E-002          -2          -2          -1
  -2.7244495229160328E-003   1.4120350823608744E-002          -2          -1          -2
  -2.7244378127906231E-003   1.4120356052371328E-002          -2          -1           0
  -2.7244443460926059E-003   1.4120367778438461E-002          -2           0          -1
  -2.7244535091440953E-003   1.4120348300573307E-002          -1          -2          -2
  -2.7244364161111917E-003   1.4120353944313300E-002          -1          -2           0
   2.7244590359943536E-003  -1.4120358880721277E-002          -1          -1           1
  -2.7244392948336301E-003   1.4120362660649820E-002          -1           0          -2
   2.7244534681795714E-003  -1.4120350463156007E-002          -1           1          -1
   2.7244452508700394E-003  -1.4120353971131729E-002          -1           1           1
  -2.7244424439947677E-003   1.4120368962807871E-002           0          -2          -1
  -2.7244398126605469E-003   1.4120365862820573E-002           0          -1          -2
  -2.7244558998506161E-003   1.4120361093974441E-002           0           1           2
  -2.7244566831765640E-003   1.4120365578121227E-002           0           2           1
   2.7244557921699128E-003  -1.4120348910251554E-002           1          -1          -1
   2.7244397743731944E-003  -1.4120352300438314E-002           1          -1           1
  -2.7244552911182243E-003   1.4120359316030635E-002           1           0           2
   2.7244378980674187E-003  -1.4120364668264206E-002           1           1          -1
  -2.7244546167576973E-003   1.4120348509062347E-002           1           2           0
  -2.7244400412772484E-003   1.4120353458567476E-002           1           2           2
  -2.7244561774215550E-003   1.4120367212291696E-002           2           0           1
  -2.7244539948830808E-003   1.4120349290822077E-002           2           1           0
  -2.7244358669654160E-003   1.4120351997559571E-002           2           1           2
  -2.7244396052512028E-003   1.4120368289394719E-002           2           2           1
  -5.2341839743062194E-004   2.7127448977585004E-003          -2          -2          -2
  -5.2340363924086410E-004   2.7127480408967457E-003          -2           0           0
  -5.2339916082211823E-004   2.7127504947975557E-003           0          -2           0
  -5.2339706510565220E-004   2.7127643715836283E-003           0           0          -2
  -5.2342731790133463E-004   2.7127569221337272E-003           0           0           2
  -5.2342151992068782E-004   2.7127447745743409E-003           0           2           0
  -5.2341811100068195E-004   2.7127443936728118E-003           2           0           0
  -5.2340010069016696E-004   2.7127495729186821E-003           2           2           2
  -3.2463260183778018E-003   1.6825171070499353E-002          -2          -2           0
  -3.2463257707136036E-003   1.6825170555084808E-002          -2           0          -2
  -3.2463279283899849E-003   1.6825171777443176E-002           0          -2          -2
  -3.2463285190376433E-003   1.6825171035329625E-002           0           2           2
  -3.2463257407132273E-003   1.6825170714784003E-002           2           0           2
  -3.2463252987814375E-003   1.6825170812627941E-002           2           2           0
   1.7227911500631195E-003  -8.9289835349804624E-003          -3          -2          -2
  -1.7228053845471452E-003   8.9289827393847707E-003          -3          -1          -1
   1.7227914192817033E-003  -8.9289832859620159E-003          -2          -3          -2
   1.7227904715934378E-003  -8.9289818724393576E-003          -2          -2          -3
   1.7228068650511417E-003  -8.9289800908476935E-003          -2           0           1
   1.7228067323118977E-003  -8.9289829939421493E-003          -2           1           0
  -1.7228066805802288E-003   8.9289812081613795E-003          -1          -3          -1
  -1.7228074244080300E-003   8.9289764302703488E-003          -1          -1          -3
   1.7227910759566424E-003  -8.9289801553588850E-003          -1           0           2
   1.7227929322360172E-003  -8.9289841397349346E-003          -1           2           0
   1.7228069156620071E-003  -8.9289782978254940E-003           0          -2           1
   1.7227892541005652E-003  -8.9289795628412407E-003           0          -1           2
   1.7228072710920544E-003  -8.9289761433910021E-003           0           1          -2
   1.7227900370665086E-003  -8.9289818455983057E-003           0           2          -1
   1.7228077150474570E-003  -8.9289813607314559E-003           1          -2           0
   1.7228077557871898E-003  -8.9289764354930322E-003           1           0          -2
  -1.7227891688568796E-003   8.9289795412951095E-003           1           1           3
