         718          24          24          24
   1.0946929314374982E-007   2.6170575448269341E-007           0           0           0
  -6.6563287224901749E-002 -0.27605997458201487               -1          -1          -1
   1.3391916911211710E-002   5.5539795342510551E-002          -1           0           0
   2.1199337726584315E-008   2.8369607923089107E-007           0          -1           0
  -2.7612137399778462E-002 -0.11451502293564540                0           0          -1
 -0.12924918657139345      -0.53603897332449790                0           0           1
   8.6796671442340693E-009   3.0352931728810817E-010           0           1           0
   6.2685871600691306E-002  0.25997903317131310                1           0           0
  -1.4220248823388515E-002  -5.8975192923697323E-002           1           1           1
   6.2686249324293883E-002  0.25997894234037339               -1          -1           0
  -1.0633393465288750E-002  -4.4099971991917168E-002          -1           0          -1
 -0.12924993422774073      -0.53603879340424299                0          -1          -1
  -2.0647375775221126E-002  -8.5631013190057934E-002           0           1           1
  -6.6563724479507896E-002 -0.27605986835369362                1           0           1
   1.0013982055339970E-002   4.1531071778920341E-002           1           1           0
  -7.3540700706327348E-003  -3.0499712717610775E-002          -2          -1          -1
  -1.4219922953976769E-002  -5.8975268641915053E-002          -1          -2          -1
  -3.4599946766686110E-003  -1.4350235067900214E-002          -1          -1          -2
  -1.0538426805549356E-002  -4.3706774556471761E-002          -1           0           1
   4.6719042561917373E-004   1.9375115642102339E-003          -1           1           0
  -2.7611562477622441E-002 -0.11451516379348790                0          -1           1
  -9.6327304623556632E-004  -3.9948928644819512E-003           0           1          -1
   1.3391597626093644E-002   5.5539873371362208E-002           1          -1           0
   3.1057102902930225E-003   1.2880828448635730E-002           1           0          -1
   1.0459776307013880E-002   4.3380539766383598E-002           1           1           2
  -4.9608350295861489E-004  -2.0573543132056385E-003           1           2           1
  -7.0784352524678445E-003  -2.9356548134716647E-002           2           1           1
  -7.0784489525679024E-003  -2.9356544926483139E-002          -2          -2          -1
   8.6738925270870876E-005   3.5961632049969817E-004          -2          -1          -2
   5.2602501359603100E-003   2.1815987985789622E-002          -2          -1           0
  -1.3847667770664710E-003  -5.7430833379935780E-003          -2           0          -1
   1.0460029893340606E-002   4.3380477917217733E-002          -1          -2          -2
   1.0013939928620159E-002   4.1531082463729385E-002          -1          -2           0
   3.1059276790227864E-003   1.2880774812188321E-002          -1          -1           1
  -1.6921767556836811E-003  -7.0180377477363064E-003          -1           0          -2
  -3.3623484266122479E-004  -1.3944610097158753E-003          -1           1          -1
  -2.9842183220530633E-003  -1.2376565078896420E-002          -1           1           1
  -2.0647285002834546E-002  -8.5631037898502016E-002           0          -2          -1
  -1.0845888461368899E-002  -4.4981424631580183E-002           0          -1          -2
  -1.6841808835784121E-004  -6.9828009490730154E-004           0           1           2
  -6.5288301665512968E-004  -2.7076738025131235E-003           0           2           1
  -1.0538682826821518E-002  -4.3706712508961479E-002           1          -1          -1
  -1.0633361224705019E-002  -4.4099978450086577E-002           1          -1           1
  -3.4602310582992086E-003  -1.4350177733855968E-002           1           0           2
   1.6056668088484708E-003   6.6592374525688766E-003           1           1          -1
   3.1664995036662395E-004   1.3132316768594240E-003           1           2           0
   2.9904321873610784E-003   1.2402323464903720E-002           1           2           2
  -7.3540933754781962E-003  -3.0499708275326755E-002           2           0           1
   8.1679842825709969E-005   3.3866432766544558E-004           2           1           0
   5.5856294340028249E-003   2.3165411679442707E-002           2           1           2
  -1.2920428005058797E-003  -5.3585265200903880E-003           2           2           1
   5.5856505775191065E-003   2.3165406637207210E-002          -2          -2          -2
   2.1264781856059518E-003   8.8191387686427716E-003          -2           0           0
  -2.0340163744442286E-009   1.5545526376646623E-009           0          -2           0
  -4.3844935201745334E-003  -1.8183803227182209E-002           0           0          -2
  -1.0845927758210212E-002  -4.4981414225613650E-002           0           0           2
   3.7135042780473298E-010   1.3482235959218416E-009           0           2           0
   5.2602767712200352E-003   2.1815980205639199E-002           2           0           0
   2.2580100244579348E-003   9.3646433920369608E-003           2           2           2
   8.1636544968206821E-005   3.3867528029719895E-004          -2          -2           0
  -3.8278881400250712E-004  -1.5875655878247823E-003          -2           0          -2
  -1.6832510659699261E-004  -6.9830386740185233E-004           0          -2          -2
   7.4328317506699992E-004   3.0826623341470532E-003           0           2           2
   8.6690484374167672E-005   3.5962717342349492E-004           2           0           2
  -3.6049189067758388E-004  -1.4950870726177126E-003           2           2           0
   1.2861040092689846E-003   5.3339126992238434E-003          -3          -2          -2
  -1.4680621007010426E-003  -6.0885044906764801E-003          -3          -1          -1
   2.2579909700599730E-003   9.3646474701278397E-003          -2          -3          -2
   1.1275007996624262E-003   4.6761291164293256E-003          -2          -2          -3
   8.9010246912386279E-005   3.6912026705860788E-004          -2           0           1
   3.6709545600410872E-004   1.5224513969453667E-003          -2           1           0
  -4.9605368058306190E-004  -2.0573610254565598E-003          -1          -3          -1
   1.5915766033317482E-003   6.6007254028366651E-003          -1          -1          -3
  -2.3449115254172916E-003  -9.7251435722206098E-003          -1           0           2
   1.4719723802709530E-004   6.1047283542813111E-004          -1           2           0
  -9.6322322073823740E-004  -3.9949054012276978E-003           0          -2           1
  -4.3844566478667959E-003  -1.8183812084761851E-002           0          -1           2
  -7.5689746733450928E-004  -3.1390826033236424E-003           0           1          -2
  -3.0349999510195466E-004  -1.2587111263599542E-003           0           2          -1
   4.6716103930570117E-004   1.9375190685842268E-003           1          -2           0
  -1.6188814761445456E-003  -6.7139767769069563E-003           1           0          -2
   2.3417094762308360E-003   9.7118566865947008E-003           1           1           3
  -1.5630192480405578E-004  -6.4823336972113089E-004           1           3           1
   2.1264608948441802E-003   8.8191422126061118E-003           2          -1           0
   1.0556041565180458E-003   4.3779353623741094E-003           2           0          -1
   1.5081681341969815E-004   6.2546126588563112E-004           2           2           3
   3.8980037320578847E-004   1.6166211627139915E-003           2           3           2
  -1.2174093471681714E-003  -5.0490069739288612E-003           3           1           1
   1.5025636684076562E-003   6.2315945799785288E-003           3           2           2
  -1.2174211691085681E-003  -5.0490056408932366E-003          -3          -2          -1
  -1.6908097324421130E-004  -7.0122189873527883E-004          -3          -1          -2
  -1.2920493556678354E-003  -5.3585261434366295E-003          -2          -3          -1
   2.5195331515230108E-004   1.0449230357598724E-003          -2          -1          -3
   1.0556104515337707E-003   4.3779348890827241E-003          -2          -1           1
   1.7248320915096883E-005   7.1528305204570394E-005          -2           1          -1
   2.9904586258426638E-003   1.2402317263238385E-002          -1          -3          -2
   2.3417318208285038E-003   9.7118514849524641E-003          -1          -2          -3
   1.6056806956001872E-003   6.6592346691112785E-003          -1          -2           1
   6.8000327748908023E-005   2.8201973140379370E-004          -1           1          -2
  -7.6204087886992488E-005  -3.1605013019726292E-004          -1           1           2
   8.2253132517421881E-005   3.4112773528643080E-004          -1           2           1
  -2.9842462401416490E-003  -1.2376558266480167E-002           1          -2          -1
  -2.3449346185746458E-003  -9.7251377113721955E-003           1          -1          -2
  -1.6921964035734702E-003  -7.0180329385781965E-003           1          -1           2
  -6.6029321254314140E-005  -2.7384880014217814E-004           1           2          -1
   8.4709144545451649E-005   3.5132472394170782E-004           1           2           3
  -8.3278856793040105E-005  -3.4538024448916053E-004           1           3           2
  -1.3847757077197378E-003  -5.7430816149614530E-003           2          -1           1
   2.5379133765331878E-004   1.0525480575348759E-003           2           1          -1
   1.1275105300628586E-003   4.6761265030852246E-003           2           1           3
   1.4251680873155097E-005   5.9104576925051584E-005           2           3           1
   1.2861178780150251E-003   5.3339100655342385E-003           3           1           2
   1.7574829026996452E-004   7.2887099521373765E-004           3           2           1
   1.5025562373968447E-003   6.2315958374964016E-003          -3          -3          -2
   6.1673656690404855E-004   2.5578185449534590E-003          -3          -2          -3
  -6.0475258331871024E-004  -2.5080934638552523E-003          -3          -1           0
  -6.6687704172795266E-004  -2.7657517842292071E-003          -3           0          -1
   1.5080282726246723E-004   6.2546476483293955E-004          -2          -3          -3
   1.2072781866653322E-004   5.0069220176755390E-004          -2           1           1
   3.1664236184379398E-004   1.3132337728236816E-003          -1          -3           0
  -1.6188633217606280E-003  -6.7139813631145323E-003          -1          -1           2
   8.0655711544208022E-004   3.3450450338272158E-003          -1           0          -3
  -5.9830350309486905E-005  -2.4813664652471282E-004          -1           2          -1
  -6.5286610435597242E-004  -2.7076781039405062E-003           0          -3          -1
   1.2469110141231496E-003   5.1713277748645491E-003           0          -1          -3
   1.1975524688800782E-003   4.9666473178848237E-003           0           1           3
  -1.1617480306874950E-004  -4.8181414585083966E-004           0           3           1
  -3.3622782747842403E-004  -1.3944626099215793E-003           1          -2           1
   1.5915569260792255E-003   6.6007298856908571E-003           1           0           3
  -8.1737084179781439E-004  -3.3898966925651431E-003           1           1          -2
   5.6345250106382833E-005   2.3368243551984851E-004           1           3           0
   8.8997101123221967E-005   3.6912339750783086E-004           2          -1          -1
   1.5049193685592730E-004   6.2413916970620428E-004           2           3           3
  -1.4680560988950099E-003  -6.0885056130554945E-003           3           0           1
  -5.8081301532041368E-004  -2.4088223480542206E-003           3           1           0
   6.4215721209171330E-004   2.6632290121564005E-003           3           2           3
   6.8582744078872298E-004   2.8443473787044503E-003           3           3           2
   6.4215507937011220E-004   2.6632297355305909E-003          -3          -3          -3
   1.7574270094952612E-004   7.2887131819499192E-004          -3          -3          -1
  -5.8081720646748793E-004  -2.4088218359256501E-003          -3          -2           0
  -2.0486181826208610E-005  -8.4956544357326079E-005          -3          -1          -3
  -3.2926667540683380E-004  -1.3655680836457324E-003          -3           0          -2
  -3.6119318884238790E-004  -1.4979840950470416E-003          -3           0           0
  -3.6049840751833364E-004  -1.4950860381946602E-003          -2          -3           0
   2.5378822001656878E-004   1.0525494929843509E-003          -2          -2           1
   5.5112225046856594E-005   2.2857093971183530E-004          -2           0          -3
   1.0098743639034433E-004   4.1882596761728946E-004          -2           1          -2
   8.4712872133489313E-005   3.5132430687792311E-004          -1          -3          -3
   2.7005184533803784E-004   1.1199865548987191E-003          -1           2           2
   7.4329755974165230E-004   3.0826587004809409E-003           0          -3          -2
   2.7271390638062323E-010   1.1834096797977742E-009           0          -3           0
   1.1975610875672226E-003   4.9666452916450402E-003           0          -2          -3
   7.4472673829964237E-004   3.0886256899649136E-003           0           0          -3
   1.2469083911867155E-003   5.1713283998891498E-003           0           0           3
  -3.9777517393332790E-005  -1.6496165406071754E-004           0           2           3
  -2.0994935513401236E-011   7.3620005422393516E-010           0           3           0
  -1.9609176349738501E-004  -8.1325335760651602E-004           0           3           2
  -7.6207995139361063E-005  -3.1604924128860118E-004           1          -2          -2
  -2.6228737513523434E-004  -1.0877826406017004E-003           1           3           3
  -3.8279701082693000E-004  -1.5875638068729870E-003           2          -1           2
   2.5195110344298957E-004   1.0449230860965454E-003           2           0           3
   6.6979887111810182E-005   2.7778864165766955E-004           2           2          -1
   9.5104843944658206E-005   3.9442923678032903E-004           2           3           0
  -6.0475043960213121E-004  -2.5080943278345700E-003           3           0           0
  -1.6907533057173863E-004  -7.0122310640643960E-004           3           0           2
   6.1674215059966142E-004   2.5578175760572830E-003           3           1           3
   1.9292281131288209E-005   8.0007855895048718E-005           3           2           0
   3.2516354305822345E-004   1.3485540974348224E-003           3           3           1
   3.8353362670596287E-004   1.5906408350143354E-003           3           3           3
   7.0617348468143219E-004   2.9287304225565783E-003          -4          -2          -2
   3.8979715901905573E-004   1.6166218202458848E-003          -2          -4          -2
  -5.0071576602634836E-004  -2.0766269790445571E-003          -2          -2          -4
  -2.1166581779408911E-004  -8.7784650395437871E-004          -2           0           2
   1.5325954660059442E-004   6.3561672232557748E-004          -2           2           0
  -7.5689179533077085E-004  -3.1390836980977489E-003           0          -2           2
  -3.1599923619924101E-004  -1.3105510982013963E-003           0           2          -2
   3.6709288467358695E-004   1.5224522028442974E-003           2          -2           0
  -5.1888889654924360E-004  -2.1520027387943647E-003           2           0          -2
  -1.8728596433753228E-004  -7.7673097588759903E-004           2           2           4
   1.6273910081156723E-004   6.7493236644225365E-004           2           4           2
   7.1238020689051089E-004   2.9544703839358378E-003           4           2           2
   7.1238185226053514E-004   2.9544703444035658E-003          -4          -3          -2
   4.4849801529494129E-004   1.8600597290829670E-003          -4          -2          -3
   3.0522117661806614E-004   1.2658551072400126E-003          -4          -2          -1
   2.1977849019599627E-004   9.1149585465273076E-004          -4          -1          -2
   6.8582809063015841E-004   2.8443474997596214E-003          -3          -4          -2
   1.0033311784426847E-004   4.1611129053440468E-004          -3          -2          -4
  -2.5382011737712238E-004  -1.0526714430652393E-003          -3          -1           1
  -1.5099041945650199E-004  -6.2620691959482978E-004          -3           1          -1
   1.5049097817274181E-004   6.2413939466598577E-004          -2          -4          -3
   1.4250213576319046E-005   5.9104808976100716E-005          -2          -4          -1
  -1.8728572639013753E-004  -7.7673111078314645E-004          -2          -3          -4
  -4.2307147973945412E-004  -1.7546136343609196E-003          -2          -1          -4
  -5.1889110533110663E-004  -2.1520021495395288E-003          -2          -1           2
   1.9087851284738621E-004   7.9163077242728444E-004          -2           1           2
   5.0240464276323177E-005   2.0836116897584439E-004          -2           2          -1
   1.7801784226175192E-004   7.3829659208038130E-004          -2           2           1
  -8.3277583824477514E-005  -3.4538018559560963E-004          -1          -4          -2
  -6.6031044751765314E-005  -2.7384851394837305E-004          -1          -3           1
  -5.7582117873448144E-004  -2.3881213861274794E-003          -1          -2          -4
  -8.1737101090125852E-004  -3.3898965755835521E-003          -1          -2           2
   3.3945127935390551E-004   1.4078141969097872E-003          -1           1          -3
   5.3636356281591008E-004   2.2244626342193628E-003          -1           1           3
  -4.1135549356620705E-005  -1.7060415396760327E-004          -1           2          -2
   9.7620778076541548E-006   4.0485600849963889E-005          -1           3           1
   8.2251618224735628E-005   3.4112758188162886E-004           1          -3          -1
   6.8001027504293427E-005   2.8202006353132458E-004           1          -2           2
   5.7683867023424092E-004   2.3923429171672072E-003           1          -1          -3
   8.0655658031194470E-004   3.3450451893559897E-003           1          -1           3
  -3.3891607258504657E-004  -1.4055946742063418E-003           1           2          -2
  -5.2933063657219334E-004  -2.1952928134470473E-003           1           2           4
   4.2323991049362063E-005   1.7553183437187762E-004           1           3          -1
  -7.9163844020109056E-006  -3.2830085359464128E-005           1           4           2
   1.2072690643645867E-004   5.0069251291637036E-004           2          -2          -1
   1.7246404703700599E-005   7.1529193126974413E-005           2          -2           1
  -2.1166572941530153E-004  -8.7784645683934505E-004           2          -1          -2
  -4.2364338771931783E-004  -1.7569871906976291E-003           2           1          -2
  -5.0071726911455640E-004  -2.0766264686252231E-003           2           1           4
   2.0386451332677881E-004   8.4549051529726250E-004           2           3           4
   5.0897689904255778E-005   2.1108900501900276E-004           2           4           1
   1.8792551563084594E-004   7.7938732253788939E-004           2           4           3
  -6.6687820390303842E-004  -2.7657517415078658E-003           3          -1           1
  -8.0831994172121213E-005  -3.3523187080260284E-004           3           1          -1
   2.7161732167203529E-004   1.1264872211530356E-003           3           2           4
   1.6143331259243360E-004   6.6951694543522814E-004           3           4           2
   7.0617555635435979E-004   2.9287301769101298E-003           4           1           2
   4.3602981589584752E-004   1.8083499316141687E-003           4           2           1
   3.2200096782539526E-004   1.3354494406999781E-003           4           2           3
   2.3219253882648120E-004   9.6298172633355549E-004           4           3           2
   3.2200445228457674E-004   1.3354489618736753E-003          -4          -3          -3
  -3.4915295359945168E-005  -1.4480047242741611E-004          -4          -1          -1
   3.8353499478480666E-004   1.5906405437101118E-003          -3          -4          -3
   2.7161814717723248E-004   1.1264868970915069E-003          -3          -3          -4
   1.9290300890345598E-005   8.0007219337063074E-005          -3          -3           0
  -1.2669389356290438E-004  -5.2543688763020404E-004          -3           0          -3
  -2.1091550577770910E-004  -8.7473240315473271E-004          -3           0           1
  -8.2264728983546539E-005  -3.4117880645317733E-004          -3           1           0
  -1.5630187792126414E-004  -6.4823337193889007E-004          -1          -4          -1
  -1.8387710000081610E-004  -7.6260008304901916E-004          -1          -1          -4
   5.7684308458020694E-004   2.3923416105601611E-003          -1           0           3
   2.5373824010212524E-005   1.0523356100451198E-004          -1           3           0
  -3.9773555036690816E-005  -1.6496252387001290E-004           0          -3          -3
  -3.0349988180684178E-004  -1.2587111412898774E-003           0          -3           1
   7.4473031256159779E-004   3.0886245854090518E-003           0          -1           3
   1.6961770645078687E-004   7.0346028967641365E-004           0           1          -3
  -5.2317256848785290E-005  -2.1697652246183098E-004           0           3          -1
  -2.4600773300051951E-004  -1.0202668295644574E-003           0           3           3
   1.4719720451429526E-004   6.1047253640620529E-004           1          -3           0
   1.7900956087064468E-004   7.4241199628447040E-004           1           0          -3
  -5.7582540457846922E-004  -2.3881204007611184E-003           1           1           4
  -2.6943701005382834E-005  -1.1174295851904321E-004           1           4           1
  -3.6119474892034448E-004  -1.4979838672748154E-003           3          -1           0
  -2.5382062761520940E-004  -1.0526718158795942E-003           3           0          -1
  -2.0483641858112457E-005  -8.4957264401992386E-005           3           0           3
   1.1931358665368609E-004   4.9482972492227630E-004           3           3           0
   2.1392534048870565E-004   8.8721373913809251E-004           3           3           4
   8.7353614898809742E-005   3.6228245820032080E-004           3           4           3
   3.0522474890342570E-004   1.2658548650093444E-003           4           1           1
  -2.7038020272175060E-005  -1.1213112445379556E-004           4           3           3
   4.3602806804089191E-004   1.8083502159905792E-003          -4          -3          -1
   1.9196765613538162E-004   7.9615084976533831E-004          -4          -1          -3
   3.2516227384758907E-004   1.3485544495228856E-003          -3          -4          -1
  -8.0830641700153867E-005  -3.3523208214920777E-004          -3          -2           1
