         718          24          24          24
  -1.0359086205131809E-002  0.13118994122353789                0           0           0
   1.0359729993060675E-002 -0.13118996464836402               -1          -1          -1
   3.0002954174662831E-002 -0.37995513688233112               -1           0           0
   3.0002959613976369E-002 -0.37995512040034601                0          -1           0
   3.0002911888549637E-002 -0.37995505557014686                0           0          -1
  -3.6819701980232021E-003   4.6625384230688738E-002           0           0           1
  -3.6820126625419520E-003   4.6625556836063148E-002           0           1           0
  -3.6819260942703505E-003   4.6625580052908996E-002           1           0           0
  -3.6029303125159600E-003   4.5626077176168608E-002           1           1           1
  -3.0003360842025418E-002  0.37995502728659725               -1          -1           0
  -3.0003332718611941E-002  0.37995510418410744               -1           0          -1
  -3.0003304211616837E-002  0.37995511725100939                0          -1          -1
  -7.7866578370480262E-003   9.8607701988820101E-002           0           1           1
  -7.7866737354072083E-003   9.8607686683260490E-002           1           0           1
  -7.7866605550414979E-003   9.8607696943088616E-002           1           1           0
   3.6815467576368009E-003  -4.6625458887465644E-002          -2          -1          -1
   3.6816376320532697E-003  -4.6625411448972573E-002          -1          -2          -1
   3.6816169457880720E-003  -4.6625260368932359E-002          -1          -1          -2
   2.3387048219130398E-003  -2.9617606492497735E-002          -1           0           1
   2.3386726817516360E-003  -2.9617512059428426E-002          -1           1           0
   2.3386858913815338E-003  -2.9617599322179312E-002           0          -1           1
   2.3386579991508680E-003  -2.9617547649123100E-002           0           1          -1
   2.3387153467660893E-003  -2.9617494894354848E-002           1          -1           0
   2.3387135429750721E-003  -2.9617538779564610E-002           1           0          -1
   1.3097425772765601E-003  -1.6586104070071880E-002           1           1           2
   1.3097657527910559E-003  -1.6586156772232886E-002           1           2           1
   1.3097144759344793E-003  -1.6586167427739610E-002           2           1           1
   7.7864638265011926E-003  -9.8607641508693333E-002          -2          -2          -1
   7.7864467321877399E-003  -9.8607662691068798E-002          -2          -1          -2
  -2.3388467797037646E-003   2.9617562275580000E-002          -2          -1           0
  -2.3388286677333680E-003   2.9617524495346815E-002          -2           0          -1
   7.7864519463010018E-003  -9.8607643634250744E-002          -1          -2          -2
  -2.3387848560668485E-003   2.9617574420542282E-002          -1          -2           0
  -1.0632815437214009E-003   1.3464850845561949E-002          -1          -1           1
  -2.3387912800358255E-003   2.9617628755338580E-002          -1           0          -2
