         718          24          24          24
  0.15615584717411141      -0.14651999589083395                0           0           0
  0.15615641520497611      -0.14651939300712447               -1          -1          -1
 -0.27043670278204007       0.25374822733206931               -1           0           0
 -0.27043666694083768       0.25374817949629980                0          -1           0
 -0.27043637333554760       0.25374784579603982                0           0          -1
   5.8480421207004196E-002  -5.4871586993961483E-002           0           0           1
   5.8480554063392400E-002  -5.4871673953071472E-002           0           1           0
   5.8480547937121145E-002  -5.4871670051500371E-002           1           0           0
  -7.6455790180724362E-002   7.1737675812415830E-002           1           1           1
 -0.27043654707883136       0.25374766692434358               -1          -1           0
 -0.27043689701160395       0.25374793831973436               -1           0          -1
 -0.27043695586255856       0.25374797458040677                0          -1          -1
  -9.9130197411301801E-003   9.3012274558744654E-003           0           1           1
  -9.9130233135242066E-003   9.3012362582337669E-003           1           0           1
  -9.9130651003454581E-003   9.3012852025116249E-003           1           1           0
   5.8480518024452526E-002  -5.4871706541222386E-002          -2          -1          -1
   5.8480501044753982E-002  -5.4871686155675531E-002          -1          -2          -1
   5.8480412161716219E-002  -5.4871569365957329E-002          -1          -1          -2
  -1.6969478004106651E-003   1.5923054631252168E-003          -1           0           1
  -1.6969082710796396E-003   1.5922964171579553E-003          -1           1           0
  -1.6969379794022584E-003   1.5922984472421711E-003           0          -1           1
  -1.6968566820805048E-003   1.5922183599745903E-003           0           1          -1
  -1.6969011373593242E-003   1.5922885535041469E-003           1          -1           0
  -1.6968603341003293E-003   1.5922185411949249E-003           1           0          -1
  -2.0586695803108936E-002   1.9316312603942246E-002           1           1           2
  -2.0586705868400550E-002   1.9316319198710259E-002           1           2           1
  -2.0586703252895654E-002   1.9316318387941331E-002           2           1           1
  -9.9130319128708250E-003   9.3013383830947878E-003          -2          -2          -1
  -9.9129868952430866E-003   9.3012990238119566E-003          -2          -1          -2
  -1.6969315643288021E-003   1.5921385087786276E-003          -2          -1           0
  -1.6970058253481541E-003   1.5921729907576359E-003          -2           0          -1
  -9.9129806689705231E-003   9.3012960259871019E-003          -1          -2          -2
  -1.6969411656989706E-003   1.5921442217668284E-003          -1          -2           0
  -3.2759718626456220E-003   3.0738368811597579E-003          -1          -1           1
  -1.6970259691940954E-003   1.5922165409293569E-003          -1           0          -2
  -3.2759763108200254E-003   3.0738455113653337E-003          -1           1          -1
  -4.1556490419931771E-003   3.8992314674653563E-003          -1           1           1
  -1.6970129694441466E-003   1.5921842659628637E-003           0          -2          -1
  -1.6970232657596684E-003   1.5922207724169809E-003           0          -1          -2
  -1.7947749985881382E-002   1.6840182734953250E-002           0           1           2
  -1.7947749192368728E-002   1.6840178939925329E-002           0           2           1
