         718          24          24          24
  -2.2951824193038419E-003  -6.1328262314150198E-004           0           0           0
  -6.3774850624953908E-004   2.3980115975736757E-003          -1          -1          -1
  -3.0437782757895143E-004  -4.7909765309172322E-006          -1           0           0
  0.64299935649261131       0.17182002004933600                0          -1           0
 -0.63795676071026941      -0.17047247317062258                0           0          -1
  -1.9500274339832362E-002  -5.2109108390152913E-003           0           0           1
   1.8677100295621297E-002   4.9909514246296947E-003           0           1           0
  -6.2927736137361953E-004   2.4002770071235571E-003           1           0           0
   2.6661409497446398E-004   1.4779577084986234E-004           1           1           1
  0.10952187768997519        2.9704728023201545E-002          -1          -1           0
 -0.10895544218632702       -2.8677231090907356E-002          -1           0          -1
  -2.3014441765797714E-003  -6.1495858178510293E-004           0          -1          -1
   2.8507651692179225E-005   7.6219271942745649E-006           0           1           1
 -0.10973821989020408       -2.8885445894230012E-002           1           0           1
  0.10873957859224791        2.9494720590915589E-002           1           1           0
   5.9493882836014384E-005   2.2377387909627047E-004          -2          -1          -1
 -0.10960890875083756       -2.8851137327199024E-002          -1          -2          -1
  0.10861084380167840        2.9459534039743704E-002          -1          -1          -2
   1.3064640597149344E-003   3.4342229332878072E-004          -1           0           1
  -1.5277864065468901E-003  -4.1393227126682367E-004          -1           1           0
   5.1993846687391328E-002   1.3893540620394332E-002           0          -1           1
  -5.1678970262940771E-002  -1.3809391376275532E-002           0           1          -1
  0.10939282490178713        2.9669431828367870E-002           1          -1           0
 -0.10882644745122105       -2.8642983993663558E-002           1           0          -1
  -1.3036644312909404E-003  -3.5402400326612824E-004           1           1           2
   1.5305930348827280E-003   4.0330074825320494E-004           1           2           1
   1.6203871727511599E-004  -1.6457182494946797E-004           2           1           1
  -2.4562796633217462E-002  -6.5636140695982861E-003          -2          -2          -1
   2.4573195682685449E-002   6.5663339168335767E-003          -2          -1          -2
   4.3261063232455125E-003   1.2193199178724863E-003          -2          -1           0
  -4.2912730082090922E-003  -1.0834534003026936E-003          -2           0          -1
   2.6695804245784418E-004   1.4762899592487335E-004          -1          -2          -2
  -1.6280955286757155E-005   9.4359034952673143E-005          -1          -2           0
   1.5795195476038811E-002   4.2380477332709847E-003          -1          -1           1
  -3.1865885092302591E-005   8.9814221142138202E-005          -1           0          -2
  -1.5764135898254299E-002  -4.1951922285510916E-003          -1           1          -1
  -1.4883532287325575E-005  -6.5737985036711887E-006          -1           1           1
  -1.9435116425011615E-002  -5.1932475831277759E-003           0          -2          -1
   1.8613333449172702E-002   4.9736587661024633E-003           0          -1          -2
  -5.7307234564139614E-004  -1.5313306409010720E-004           0           1           2
   7.2195561288990748E-004   1.9292123863642730E-004           0           2           1
  -3.0459092409408791E-004  -5.1053845332000810E-006           1          -1          -1
  -3.2372461820925375E-005   8.9901903737964569E-005           1          -1           1
  -1.5803734886171619E-002  -4.2057084849466001E-003           1           0           2
  -1.6680605266343145E-005   9.4028939730418849E-005           1           1          -1
   1.5755627544342878E-002   4.2274119441493146E-003           1           2           0
   1.6164545847593660E-005   1.7229053721875980E-006           1           2           2
  -2.4562811471952516E-002  -6.5635497478022560E-003           2           0           1
   2.4573178960618426E-002   6.5663861235002816E-003           2           1           0
   4.3573333026667733E-003   1.1010653200765178E-003           2           1           2
  -4.2600674053213669E-003  -1.2016317489491686E-003           2           2           1
   1.6235177862828699E-004  -1.6445945304450999E-004          -2          -2          -2
