         718          24          24          24
   2.7818087182913176E-002 -0.62590045968469998                0           0           0
  0.13461251727307519        9.8382364689462667E-002          -1          -1          -1
  -2.0625923623003521E-002  -3.2056572558898253E-002          -1           0           0
  0.14798442744992729      -0.20248063847328579                0          -1           0
  0.14798407158422139      -0.20248089871778865                0           0          -1
   2.4209509125237241E-002  -4.8572462318967696E-002           0           0           1
   2.4209513749755295E-002  -4.8572404107222258E-002           0           1           0
 -0.13461253822751224       -9.8382335845856594E-002           1           0           0
   2.0625927587196287E-002   3.2056575248455788E-002           1           1           1
  -4.3442329806322672E-003   1.6003648764590897E-003          -1          -1           0
  -4.3442802319394987E-003   1.6002662431987170E-003          -1           0          -1
  0.58790001358414534      -0.21656132034046682                0          -1          -1
   2.7542364662675747E-002  -1.0145652867019491E-002           0           1           1
   4.3442200018551039E-003  -1.6003645944751297E-003           1           0           1
   4.3442876878327687E-003  -1.6002629086919482E-003           1           1           0
   1.0480574361621982E-002  -8.4925079144339572E-003          -2          -1          -1
   2.0554514430211421E-004  -4.6250864346234592E-003          -1          -2          -1
   2.0566295625634658E-004  -4.6250537001896637E-003          -1          -1          -2
  -1.9816426971239263E-004   4.4588378142156725E-003          -1           0           1
  -1.9816260836787365E-004   4.4588412733452048E-003          -1           1           0
   1.0062031810419312E-002   9.2534885636833594E-004           0          -1           1
   1.0061997393027355E-002   9.2533889625179624E-004           0           1          -1
  -2.0555092152297434E-004   4.6250806531418351E-003           1          -1           0
  -2.0565919191101460E-004   4.6250653399927790E-003           1           0          -1
   1.9816439657217833E-004  -4.4588377357508546E-003           1           1           2
   1.9816318485128197E-004  -4.4588409538526925E-003           1           2           1
   1.0480579585219332E-002  -8.4925101750566237E-003           2           1           1
   1.4092718677994135E-002  -1.9282510564790651E-002          -2          -2          -1
   1.4092738828385413E-002  -1.9282493310541597E-002          -2          -1          -2
  -8.5006267815312137E-003  -3.0867586381859982E-003          -2          -1           0
  -8.5006293285490205E-003  -3.0867657105181573E-003          -2           0          -1
  -3.6806077838034287E-002  -9.9179403919449124E-003          -1          -2          -2
  -1.2819320244282603E-002  -9.3690640205791580E-003          -1          -2           0
  -9.0625406399911825E-003   9.5564084798277511E-003          -1          -1           1
  -1.2819305682331632E-002  -9.3690758303239790E-003          -1           0          -2
  -9.0625460988566046E-003   9.5563977044339048E-003          -1           1          -1
   6.9635105041574276E-003   1.9455654561488067E-003          -1           1           1
   3.8927643022984404E-002  -3.7815573413053680E-002           0          -2          -1
   3.8927700227166240E-002  -3.7815586899742112E-002           0          -1          -2
   7.3711316224098176E-003  -7.2259354120545651E-003           0           1           2
   7.3711308478943589E-003  -7.2259346249891878E-003           0           2           1
   3.6806073712181128E-002   9.9179376548552915E-003           1          -1          -1
   1.2819316548949827E-002   9.3690606991267966E-003           1          -1           1
   9.0625391819585503E-003  -9.5564090331960450E-003           1           0           2
   1.2819310034714110E-002   9.3690779129945532E-003           1           1          -1
   9.0625472371865939E-003  -9.5563977753271804E-003           1           2           0
  -6.9635107252431555E-003  -1.9455654294360913E-003           1           2           2
   1.4092717616474699E-002  -1.9282508867525090E-002           2           0           1
   1.4092740036724474E-002  -1.9282495038777554E-002           2           1           0
  -8.5006242898810359E-003  -3.0867583697852278E-003           2           1           2
  -8.5006294753731775E-003  -3.0867660657042557E-003           2           2           1
   4.9090533572142079E-003  -1.2564492175064432E-002          -2          -2          -2
  -1.1569979834285794E-002   5.0453478533863793E-003          -2           0           0
  -3.9370055212630635E-003  -9.3059137265101219E-003           0          -2           0
  -3.9370252574147304E-003  -9.3059433440231022E-003           0           0          -2
   1.1499186209725313E-002  -3.4525101401180619E-003           0           0           2
   1.1499189463672522E-002  -3.4525020609256383E-003           0           2           0
   4.9090529894839918E-003  -1.2564486818568071E-002           2           0           0
  -1.1569979867859355E-002   5.0453478117078567E-003           2           2           2
   5.2799307244387125E-004  -1.1879827258787168E-002          -2          -2           0
   5.2799477484595080E-004  -1.1879826064166307E-002          -2           0          -2
   1.3032722661115818E-003  -2.9322646821522913E-002           0          -2          -2
   2.2549389340782364E-004  -5.0735917483428093E-003           0           2           2
   5.2799348996791697E-004  -1.1879826796875216E-002           2           0           2
   5.2799432603518534E-004  -1.1879826467742348E-002           2           2           0
   4.6934712582113302E-003   3.4302500998689041E-003          -3          -2          -2
   6.8744744502010112E-003  -9.1498778397846470E-003          -3          -1          -1
   5.5222609405404695E-003   7.1619451289740175E-003          -2          -3          -2
   5.5222521359026798E-003   7.1619428098416878E-003          -2          -2          -3
  -3.5946931360511091E-003   5.2021634152307613E-003          -2           0           1
  -3.5946923755720739E-003   5.2021633520590305E-003          -2           1           0
   6.3532970979271264E-003  -1.1536469217041892E-002          -1          -3          -1
   6.3533103235291636E-003  -1.1536464667588203E-002          -1          -1          -3
   3.2442409654201971E-003   2.6829454211414056E-003          -1           0           2
   3.2442433591867497E-003   2.6829474995034839E-003          -1           2           0
  -5.1596918131095763E-003   7.0597992242329077E-003           0          -2           1
   6.2764522983975498E-003   4.3055478681654144E-003           0          -1           2
  -5.1596963245848591E-003   7.0597960053165459E-003           0           1          -2
   6.2764545977897074E-003   4.3055499464289462E-003           0           2          -1
  -6.3532975584740768E-003   1.1536467782971226E-002           1          -2           0
  -6.3533092712377906E-003   1.1536465918736406E-002           1           0          -2
  -3.2442410112013403E-003  -2.6829453812987360E-003           1           1           3
  -3.2442434907546591E-003  -2.6829474652148499E-003           1           3           1
