         718          24          24          24
  0.43037551782761979       0.85119347048115301                0           0           0
  -4.4148427109806120E-002  -8.7316106446063912E-002          -1          -1          -1
   4.4201600444534639E-002   8.7421940643266485E-002          -1           0           0
   4.4201617109140681E-002   8.7421950331933090E-002           0          -1           0
   4.4094971204487687E-002   8.7210972997539798E-002           0           0          -1
   4.4255522659111479E-002   8.7527965143119807E-002           0           0           1
   4.4148431517681212E-002   8.7316116560097801E-002           0           1           0
   4.4148436579161995E-002   8.7316095163818774E-002           1           0           0
  -4.4201613725316280E-002  -8.7421939982302771E-002           1           1           1
  -1.3580903255125148E-007  -4.3479710491128360E-008          -1          -1           0
  -5.7067443988306869E-008   1.5235793294217874E-007          -1           0          -1
  -5.2137294997219320E-008   1.5069225709864600E-007           0          -1          -1
   1.5256589044707105E-007   4.5354896366142490E-008           0           1           1
   1.4802069985720798E-007   3.8025464606501313E-008           1           0           1
   4.6884599108204985E-008  -1.3373832640679233E-007           1           1           0
   4.7354283370304798E-003   9.3656872648931778E-003          -2          -1          -1
   4.7354249644831984E-003   9.3656845792499006E-003          -1          -2          -1
   4.7328497243420836E-003   9.3605997545752138E-003          -1          -1          -2
  -4.7379584637692830E-003  -9.3706948309559973E-003          -1           0           1
  -4.7354273921292895E-003  -9.3656891802023010E-003          -1           1           0
  -4.7379561764575358E-003  -9.3706922209467695E-003           0          -1           1
  -4.7328507529489352E-003  -9.3606004502146661E-003           0           1          -1
  -4.7354228397525995E-003  -9.3656897970480144E-003           1          -1           0
  -4.7328484846301672E-003  -9.3606046224598768E-003           1           0          -1
   4.7379591404346395E-003   9.3706940333915766E-003           1           1           2
   4.7354265732125868E-003   9.3656888584510156E-003           1           2           1
   4.7354245209292860E-003   9.3656928477689229E-003           2           1           1
   6.4890409226214685E-003   1.2833994644279168E-002          -2          -2          -1
   6.4841929442135725E-003   1.2824402460001754E-002          -2          -1          -2
   6.4935262172371565E-003   1.2842828059363168E-002          -2          -1           0
   6.4886923932558306E-003   1.2833271820147315E-002          -2           0          -1
   6.4841905607408946E-003   1.2824402142374347E-002          -1          -2          -2
   6.4935281411767779E-003   1.2842827489870860E-002          -1          -2           0
  -6.4979974901236718E-003  -1.2851715166996742E-002          -1          -1           1
   6.4797387216131439E-003   1.2815561335580407E-002          -1           0          -2
  -6.4841942428197352E-003  -1.2824404182613899E-002          -1           1          -1
  -6.4935236556828129E-003  -1.2842828924511421E-002          -1           1           1
   6.4886951363897433E-003   1.2833271895487618E-002           0          -2          -1
   6.4797395508023525E-003   1.2815561833971714E-002           0          -1          -2
   6.4980007836761191E-003   1.2851714239882623E-002           0           1           2
   6.4890442902477427E-003   1.2833995223815699E-002           0           2           1
  -6.4841908568270459E-003  -1.2824404537358978E-002           1          -1          -1
  -6.4935244588512821E-003  -1.2842827828904441E-002           1          -1           1
   6.4980017478236457E-003   1.2851714468295996E-002           1           0           2
  -6.4797396976285348E-003  -1.2815559692916749E-002           1           1          -1
   6.4841930503920474E-003   1.2824406162729772E-002           1           2           0
   6.4935259174337626E-003   1.2842828785509561E-002           1           2           2
   6.4890438020476851E-003   1.2833997387607644E-002           2           0           1
   6.4841916542494162E-003   1.2824407175423189E-002           2           1           0
   6.4935243296526529E-003   1.2842827873091656E-002           2           1           2
   6.4886934662747369E-003   1.2833271135971601E-002           2           2           1
   1.2441605509940533E-003   2.4607148821390052E-003          -2          -2          -2
   1.2490692091526774E-003   2.4703791467321386E-003          -2           0           0
   1.2490740981632204E-003   2.4703814383653629E-003           0          -2           0
   1.2393117733789519E-003   2.4510683188262552E-003           0           0          -2
   1.2539632391600391E-003   2.4801087709289257E-003           0           0           2
   1.2441620820836481E-003   2.4607166045585473E-003           0           2           0
   1.2441615886977558E-003   2.4607156637181707E-003           2           0           0
   1.2490716297831909E-003   2.4703802690925164E-003           2           2           2
   7.7377140958288281E-003   1.5303593609703070E-002          -2          -2           0
   7.7259513602990770E-003   1.5280327851569356E-002          -2           0          -2
   7.7259514064441969E-003   1.5280328372185386E-002           0          -2          -2
   7.7377143093352975E-003   1.5303593884232081E-002           0           2           2
   7.7377145703105684E-003   1.5303593708639870E-002           2           0           2
   7.7259516363901784E-003   1.5280328455138884E-002           2           2           0
  -4.1034138452401645E-003  -8.1156843366737581E-003          -3          -2          -2
   4.1030270557156807E-003   8.1149528580078296E-003          -3          -1          -1
  -4.1034145832477822E-003  -8.1156843819084404E-003          -2          -3          -2
  -4.0995948352316597E-003  -8.1081304279291260E-003          -2          -2          -3
  -4.1068440408265194E-003  -8.1225034194904108E-003          -2           0           1
